URL,Version,Status,OIDs,Name,Title,Description,Used
http://dips.no/fhir/R4/CodeSystem/DIPSLocationTopLevel,0.1.0,draft,,DIPSLocationTopLevel,,"","ValueSet/LocationTypes"
http://dips.no/fhir/R4/CodeSystem/NoImplBodyMassIndexMeasurementMethod,0.1.0,draft,,NoImplBodyMassIndexMeasurementMethod,,"","ValueSet/NoImplVitalSignsObservationBodyMassIndexFormula"
http://dips.no/fhir/R4/CodeSystem/NoImplMeasurementMethod,0.1.0,draft,,NoImplMeasurementMethod,,"","ValueSet/NoImplVitalSignsObservationPulseMeasurementMethod,ValueSet/NoImplVitalSignsObservationHeartRateMeasurementMethod,ValueSet/NoImplVitalSignsObservationBloodPressureMeasurementMethod"
http://dips.no/fhir/R4/CodeSystem/NoImplVitalSignsObservationConsciousness,0.1.0,draft,,NoImplVitalSignsObservationConsciousness,,"","ValueSet/NoImplVitalSignsObservationConsciousness"
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/appointmentstatus,4.0.1,draft,"2.16.840.1.113883.4.642.4.485",AppointmentStatus,AppointmentStatus,"The free/busy status of an appointment.","ValueSet/appointmentstatus"
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.4.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.263",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/encounter-status"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/narrative-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.56",NarrativeStatus,NarrativeStatus,"The status of a resource narrative.","ValueSet/narrative-status"
http://hl7.org/fhir/participationstatus,4.0.1,draft,"2.16.840.1.113883.4.642.4.487",ParticipationStatus,ParticipationStatus,"The Participation status of an appointment.","ValueSet/participationstatus"
http://hl7.org/fhir/slotstatus,4.0.1,draft,"2.16.840.1.113883.4.642.4.483",SlotStatus,SlotStatus,"The free/busy status of the slot.","ValueSet/slotstatus"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/NoDomainVitalSignsObservationPulseRhythmIrregularity,ValueSet/NoDomainVitalSignsObservationBloodPressureMeasurementMethod,ValueSet/NoDomainVitalSignsObservationBloodpressureBodyPosition,ValueSet/NoDomainVitalSignsObservationBloodpressureBodySite,ValueSet/NoDomainVitalSignsObservationPulseMeasurementMethod,ValueSet/NoDomainVitalSignsObservationSpontaneousBreathing,ValueSet/NoDomainVitalSignsObservationPulseBodySite,ValueSet/NoDomainVitalSignsObservationRespirationRegularity,ValueSet/NoDomainVitalSignsObservationBodyTempBodySite,ValueSet/NoDomainVitalSignsObservationClothingState,ValueSet/NoDomainVitalSignsObservationRespirationRateBodyPosition,ValueSet/NoDomainVitalSignsObservationPulseRhythm,ValueSet/NoDomainVitalSignsObservationHeartRateMeasurementMethod,ValueSet/NoDomainVitalSignsObservationCuffsize,ValueSet/NoDomainVitalSignsObservationHeartRhythmIrregularity,ValueSet/NoDomainVitalSignsObservationBodyExposure,ValueSet/NoDomainVitalSignsObservationSleepStatus,ValueSet/NoDomainVitalSignsObservationHeartRateBodySite,ValueSet/NoDomainVitalSignsObservationHeartRatePulseBodyPosition,ValueSet/NoDomainVitalSignsObservationBodyHeightBodyPosition,ValueSet/NoDomainVitalSignsObservationDiastolicendPoint,ValueSet/NoDomainVitalSignsObservationRespirationRateDepth"
http://terminology.hl7.org/CodeSystem/location-physical-type,2.0.1,active,"2.16.840.1.113883.4.642.1.1108",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.  This includes several 'non physical' codes which are still considered a location.","ValueSet/location-physical-type"
http://terminology.hl7.org/CodeSystem/v3-ActCode,11.0.0,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/DIPSEncounterV3"
http://terminology.hl7.org/CodeSystem/v3-Confidentiality,5.0.0,active,"2.16.840.1.113883.5.25",Confidentiality,Confidentiality,"A set of codes specifying the security classification of acts and roles in accordance with the definition for concept domain ""Confidentiality"".","ValueSet/v3-ConfidentialityClassification"
