Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-dips.fhir.no.core.json	65917	-	0	0	0	0	0	0	41	162	0	0	0	0	0	0	0	2	0	0	4819	392	0	0	0	18	0	2
fsh-generated/resources/Appointment-ahi1004667.json	346	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	116	163	0	0	0	0	0	0
fsh-generated/resources/Appointment-ahi38.json	341	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	126	173	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-DIPSLocation.json	841	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	162	385	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-DIPSLocationTopLevel.json	577	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	149	309	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DIPSVitalSignsObservationPrePostduktal.json	710	0	0	0	2	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	189	264	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-NoImplBodyMassIndexMeasurementMethod.json	642	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	130	249	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-NoImplMeasurementMethod.json	609	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	162	229	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-NoImplQSOFAcomponentCodes.json	723	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	133	249	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-NoImplVitalSignsObservationConsciousness.json	878	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	143	479	0	0	0	1	0	0
fsh-generated/resources/DocumentReference-ako1041394.json	210	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	65	235	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ako124.json	206	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	78	279	0	0	0	0	0	0
fsh-generated/resources/Encounter-agy1000245.json	317	0	0	0	0	0	0	0	0	5420	0	0	0	0	0	0	0	0	0	0	89	235	0	0	0	0	0	0
fsh-generated/resources/Encounter-agy1002135.json	7622	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	281	0	0	0	0	0	0
fsh-generated/resources/Encounter-agy100247.json	871	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	165	0	0	0	0	0	0
fsh-generated/resources/Encounter-agy1002679.json	317	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	77	184	0	0	0	0	0	0
fsh-generated/resources/Encounter-agy27.json	5812	8	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	199	223	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-HealthcareService-1.json	1782	5	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	143	282	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-HealthcareService-Emergency-Room.json	5182	7	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	220	265	0	0	0	0	0	0
fsh-generated/resources/Location-Location-Bed-aie1000048.json	1580	3	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	139	199	0	0	0	0	0	0
fsh-generated/resources/Location-Location-Team-aew1000027.json	931	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	104	181	0	0	0	0	0	0
fsh-generated/resources/Location-Location-Ward-ahl1000139.json	1757	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	119	112	0	0	0	0	0	0
fsh-generated/resources/Location-aea1000021.json	164	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	97	0	0	0	0	0	0
fsh-generated/resources/Location-afm1.json	49	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	197	0	0	0	0	0	0
fsh-generated/resources/Location-ahl21.json	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	236	0	0	0	0	0	0
fsh-generated/resources/Location-ahl25.json	154	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	40	251	0	0	0	0	0	0
fsh-generated/resources/Location-aie1000000.json	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	206	0	0	0	0	0	0
fsh-generated/resources/Location-aie1000050.json	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	172	0	0	0	0	0	0
fsh-generated/resources/Observation-noImpl-GCS-create.json	3514	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	266	0	0	0	0	0	1
fsh-generated/resources/Observation-noImpl-QSOFAScore-create.json	3867	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	166	0	0	0	0	0	0
fsh-generated/resources/Observation-noImpl-consciousness-create.json	2388	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	163	0	0	0	0	0	0
fsh-generated/resources/Observation-noImpl-respiratory-rate-create.json	3141	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	131	0	0	0	0	0	0
fsh-generated/resources/Observation-noimpl-bloodpressure-instance.json	3936	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	168	124	0	0	0	0	0	0
fsh-generated/resources/Observation-noimpl-body-height-create.json	2598	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	126	0	0	0	0	0	0
fsh-generated/resources/Observation-noimpl-body-mass-index-create.json	2776	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	217	0	0	0	0	0	0
fsh-generated/resources/Observation-noimpl-body-temperature-create.json	2785	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	117	221	0	0	0	0	0	0
fsh-generated/resources/Observation-noimpl-body-weight-create.json	2867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	245	0	0	0	0	0	0
fsh-generated/resources/Observation-noimpl-heart-rate-create.json	2879	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	195	0	0	0	0	0	0
fsh-generated/resources/Observation-noimpl-news2-create.json	7124	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	204	243	0	0	0	0	0	0
fsh-generated/resources/Observation-noimpl-oxygen-saturation-create.json	3434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	186	0	0	0	0	0	0
fsh-generated/resources/Observation-noimpl-pulse-rate.json	3115	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	92	267	0	0	0	0	0	0
fsh-generated/resources/Organization-Organization-aks1.json	3660	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	209	240	0	0	0	0	0	0
fsh-generated/resources/Organization-Organizationaks2.json	3516	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	282	187	0	0	0	0	0	0
fsh-generated/resources/Organization-afa1000061.json	168	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	66	173	0	0	0	0	0	0
